trip_id,distance_meters,duration_sec_taken,duration_sec_optimal,origin_lat,origin_lon,destination_lat,destination_lon,polyline
e219a53a-9114-4770-b691-6b64dbf33c6f,705,515,67,53.86077040000001,-1.204732,53.8624941,-1.1952664,ytvgIphjFKwI?W?E@A?A@A?ABA@?@?@??A@??C?C?CAQAo@Ci@Me@Mm@Oi@[_@Sg@Ig@Qy@Qc@Wo@Qu@Qy@QkAQaAI]EQIQS_@Ye@][QSKKCICK?M?YHiCLqEHqC
e219a53a-9114-4770-b691-6b64dbf33c6f,127,588,13,53.8624941,-1.1952664,53.86247179999999,-1.1933328,q_wgIlmhF?O?[?k@@mD@mB?O
e219a53a-9114-4770-b691-6b64dbf33c6f,464,474,55,53.86247179999999,-1.1933328,53.86645679999999,-1.1926614,m_wgIhahFo@M{@Ok@OWEQAW@M@WDWDWDOBKAGAMKe@c@k@_AGMEEEAsCUy@IM?E?K@QFQHYNi@Z
e219a53a-9114-4770-b691-6b64dbf33c6f,178,567,48,53.86645679999999,-1.1926614,53.8669163,-1.1900822,kxwgIb}gF]yAIq@C[G_ACe@GmAMqBGk@EI
e219a53a-9114-4770-b691-6b64dbf33c6f,1414,131,108,53.8669163,-1.1900822,53.8748917,-1.1780405,g{wgI~lgFYA]AaBB_CDiAHo@GoDq@aGoAoAYUKWSWYQYEwAGwCImDGmDI_DOqBYgCiAuJS}AE[c@wC_@gB]sAm@gBYq@KWQ]W]QQ[Ma@Gq@KQMIEU_@
e219a53a-9114-4770-b691-6b64dbf33c6f,817,192,54,53.8748917,-1.1780405,53.8817506,-1.176273,amygIvaeF_F|AmBj@}Ab@}@Ry@HaADqAIkASiA_@q@]yAaAm@a@g@]UQs@o@oDoEUY[i@
e219a53a-9114-4770-b691-6b64dbf33c6f,346,454,26,53.8817506,-1.176273,53.8844095,-1.1789329,}wzgItvdFY`@m@x@i@p@OTiAhBa@b@iAdASPq@j@EDqAz@g@ROFE?
e219a53a-9114-4770-b691-6b64dbf33c6f,1219,282,76,53.8844095,-1.1789329,53.8948309,-1.1812552,qh{gIhgeFOBo@Bu@M_AWuAe@gBs@u@W_ASc@MUKYMYMg@IiACiCMsBKs@@i@Hk@NuAj@yAj@k@XIDi@Zo@f@a@XeAlAo@v@]\uAbA_BjAsAdAu@^yAf@aA^
e219a53a-9114-4770-b691-6b64dbf33c6f,223,411,17,53.8948309,-1.1812552,53.8959834,-1.1839334,ui}gIzueFi@z@Un@KZI^I\Gd@ETC\CTANARCNENENOd@W`@s@bA
e219a53a-9114-4770-b691-6b64dbf33c6f,945,181,62,53.8959834,-1.1839334,53.9041114,-1.18741,{p}gIpffFu@l@o@n@q@j@ONSLSJYNg@P_@Lk@Py@LWF]BY?O@OAWAk@E]CYAcDHc@B[HiAd@e@Vg@Tg@Tk@Pq@Nk@Lw@Zk@Tg@Ta@Re@\i@b@m@d@i@XqAd@
e219a53a-9114-4770-b691-6b64dbf33c6f,394,607,36,53.9041114,-1.18741,53.9062699,-1.1836713,uc_hIh|fFKcB_@cFKaAKg@?AO{@Ok@Qg@Sa@IIs@aA}@i@y@Qc@Cq@@YB
e219a53a-9114-4770-b691-6b64dbf33c6f,474,434,47,53.9062699,-1.1836713,53.9079421,-1.1868893,eq_hI|dfF@}@C{@Ie@O]QQ]IO@SHMNS\a@bA{@lB_AxBGNSb@e@dAYr@EJCJCHCHANALAH@F?J?J@F@F@H@DLb@LZXz@Pj@BL
e219a53a-9114-4770-b691-6b64dbf33c6f,163,421,15,53.9079421,-1.1868893,53.9076926,-1.1849978,s{_hI`yfFNSZ]NWf@s@D_@@M?O?MAYEQK[Q]EMCGEUC]
e219a53a-9114-4770-b691-6b64dbf33c6f,17794,898,648,53.9076926,-1.1849978,53.9895916,-1.0236652,az_hIfmfFc@}@i@cAy@yAIOg@}@o@gAq@gAk@eAm@iAo@iAo@mAc@u@q@cAs@_Au@w@y@w@oBeBg@c@s@k@oAgAsAoA[_@e@k@g@q@W_@Yc@Wg@We@i@eAMWM[e@aAYq@]s@o@{Ae@kACGWs@o@mB]iAc@yA_@}Ag@uBWgAMs@[aBSoAW_BYyBOmAOoA]uCSgBOoAScBUeBSgBSgBS}AGm@QsASmBWcCYcCUyBSgB]cDU{B[yCOiBOkBIuAEo@E}@M}BKmBQqCKsBKoBIyAMuBMyBMsBSsCMeBOsBKuAKiBIgBIgBCqACeACqAAgBAiC?eCA_C?eCAiCCwBE_BGmBKkBIqAKgBMsACYIs@Gs@MgASoASgBUoBWwBY_COoAIw@Y{BSiBg@iEWcCi@gFY{C[{DQaCKwA[sEWuEm@oLu@oN]gGg@kHK}AM{Ac@cF[}Co@yFm@wEM_AM_AQiAMw@U_Be@uCs@eEkA{GcBqJ]wBc@kCq@eFg@eEW_C]yD[uD[yEUgEOwDK_DI_CEiCEwDC{D?kB@eA?wAB}CD_DDeCH{CLcDHyBJkBFmAR_DJsAF}@JkAJkAp@qIl@}GZoDXcDbA_Ld@iFZwDLyAR{BXsDDg@t@wInAoOl@sHT}CLqBLgCJuCHyC@uA@gA@qA@q@?s@?mA?}@CkAAoACaBE{AGsBGmAMcCIaBOiBGw@Gq@OgBW_C?CUoBa@qC]_C_@gCg@gDk@oDYeBQeA[gB}@aFq@mDo@gDw@}Do@uCy@yDmAkFmAiFkAsEcAyDcAwDqF_RkAwDCKAMm@iB}@cCa@cAk@uAm@uAs@yAsAmC[m@uAaCuAwBy@mAaAqA_AmAiCyCeEsE_DiDoCuCwEeFaFoFaL}LmBqB}AeB}AcBaBeBkBsB}AeBcAgAw@w@u@y@u@{@w@y@sAuAs@s@k@i@k@g@g@c@eAy@m@c@m@_@y@i@k@[}Aw@eAe@w@Yu@Ys@SICoBe@k@Km@Km@G]Gy@Gs@Gu@Ek@AiAAu@?Y@}AFw@FaAJWB}B^eAVw@RyAd@mAd@]N_Bv@qAt@k@\q@d@kBpAkBvAkF~Dw@l@yDrCuDjCk@`@k@b@qE|CiBjAkAp@q@^q@\uAj@k@Vm@T_AZ{@VmBf@{@NgAPaALaAJsAJcADs@@o@@yA?aACaBKaBOy@I}AW{@QOC_B_@cAWgAW{Be@cBWiAKcAEiACoA@{@DaADm@Ho@Hu@Jm@Lq@PWHm@Pk@RwAj@e@ToBbAsAt@qBfAyAv@_Bt@q@XeBt@q@VaA\aCp@}A^wBd@aAN[DwAPm@FwAJ_ADY@M@OBI@IFEFIJGHOZ
e219a53a-9114-4770-b691-6b64dbf33c6f,220,261,29,53.9895916,-1.0236652,53.9896549,-1.0269008,}yohI||fEITIPKbAId@ARAHAT?ZDnCHxCFhABP@HDR
